CID,Z,c,cerr,x1,x1err,x0,x0err,mb,mberr,MU,MUERR,covx0x1,covx0c,covx1c
m158,0.463,0.1534,0.0921,0.6448,0.5772,1e-05,1e-06,23.120167,0.076237,41.956001,0.254,-0.0,-0.0,-0.000441
m193,0.341,-0.1083,0.0697,-0.3592,0.5024,4.1e-05,4e-06,21.632322,0.095419,41.014999,0.21,-1e-06,-0.0,-0.002957
n256,0.631,-0.143,0.0524,0.7415,0.6756,8e-06,0.0,23.392845,0.031303,42.98,0.16,-0.0,-0.0,0.001032
n263,0.368,-0.1763,0.0536,-0.7541,0.4276,2.9e-05,1e-06,21.992161,0.047309,41.501999,0.157,-0.0,-0.0,0.002635
n278,0.309,-0.0787,0.0705,-1.6358,0.6831,3.6e-05,2e-06,21.763908,0.072199,40.935001,0.21,-0.0,-0.0,0.002425
n285,0.528,0.0575,0.1219,1.3113,2.1604,9e-06,1e-06,23.283352,0.118459,42.43,0.403,-2e-06,-0.0,0.158133
n326,0.268,-0.0725,0.2001,-4.3906,0.993,3e-05,6e-06,21.97093,0.226823,40.831001,0.567,-2e-06,-1e-06,0.055971
n404,0.216,0.1914,0.0956,-0.4924,0.4201,3.2e-05,3e-06,21.869896,0.115286,40.488998,0.273,-1e-06,-0.0,0.018976
p454,0.695,0.0311,0.0937,-2.0602,0.9478,5e-06,0.0,23.925915,0.04823,42.777,0.265,-0.0,0.0,0.004873
p455,0.284,-0.0549,0.0607,-0.9978,0.407,3.8e-05,2e-06,21.694155,0.066052,40.874001,0.176,-0.0,-0.0,-0.000804
p524,0.508,-0.0145,0.0622,0.8521,0.658,1.2e-05,1e-06,22.945681,0.06009,42.223,0.185,-0.0,-0.0,0.005517
